Country,Documents,Citations per Document,Clean Citation/Doc,Documents_all,AI/All Documents,Code
China,80685,11.22,1.33384148230774,3617355,2.2304971450134143,CHN
United States,65565,23.22,11.04825745443453,8626193,0.7600687812109004,USA
Japan,27049,8.44,3.503419719767829,2074872,1.3036466827833235,JPN
United Kingdom,22460,18.0,9.373107747105966,2397817,0.936685326695073,GBR
Germany,17364,14.99,6.6858442755125544,2176860,0.7976626884595243,DEU
France,15538,12.88,6.53192174024971,1555629,0.998824269796976,FRA
Spain,14475,14.01,5.624179620034543,952099,1.5203250922435587,ESP
Taiwan,13109,15.28,7.608284384773819,491560,2.6668158515745786,TWN
Italy,13069,12.17,5.768765781620629,1200448,1.0886768939595883,ITA
Canada,12677,19.83,11.031158791512187,1227380,1.0328504619596213,CAN
India,12550,11.72,2.951553784860558,998544,1.256829944399045,IND
Australia,10562,13.98,6.644764249195228,890458,1.186131181931096,AUS
Netherlands,6314,21.61,10.478302185619258,681804,0.9260725956433227,NLD
Brazil,5846,8.82,3.1269243927471777,598234,0.9772095868840621,BRA
Hong Kong,5335,18.13,13.105529522024367,200580,2.659786618805464,HKG
Iran,5156,9.4,3.0558572536850273,287010,1.7964530852583533,IRN
Singapore,5080,17.53,9.737007874015749,192942,2.6329155912139397,SGP
Poland,4780,14.59,4.395397489539749,431016,1.109007554243926,POL
Greece,3972,11.43,6.150050352467271,224897,1.7661418338172585,GRC
Turkey,3886,15.45,8.2107565620175,390874,0.9941822684547961,TUR
Malaysia,3721,7.58,1.8024724536414942,153378,2.4260324166438476,MYS
Belgium,3548,21.88,12.190811724915445,372093,0.9535250595953162,BEL
Switzerland,3541,20.25,11.180739903981927,493857,0.7170091747206175,CHE
Mexico,3344,9.07,3.1420454545454546,210387,1.5894518197417142,MEX
Portugal,3344,11.23,4.1746411483253585,189052,1.7688255083257516,PRT
Israel,3273,27.25,17.131377940727162,272352,1.2017536129714488,ISR
Romania,3268,5.7,1.2359241126070992,125576,2.60240810345926,ROU
Sweden,3124,12.76,6.077464788732394,460607,0.6782354588618932,SWE
Czech Republic,3090,8.39,3.7831715210355985,213209,1.4492821597587344,CZE
Austria,3018,13.37,5.618290258449304,268472,1.1241395750767305,AUT
Finland,2817,27.24,12.92403265885694,234846,1.1995094657775733,FIN
Hungary,2243,10.29,3.1462327240303165,136034,1.6488524927591632,HUN
Denmark,1690,9.89,4.374556213017751,263026,0.6425220320424597,DNK
Ireland,1671,10.62,4.797127468581688,135843,1.2300965084693358,IRL
New Zealand,1582,12.4,6.374209860935524,163559,0.9672350650224077,NZL
Russia,1498,4.77,2.501335113484646,701029,0.21368588175382186,RUS
Thailand,1422,7.44,2.467651195499297,109832,1.2947046398135333,THA
Slovakia,1379,8.38,3.1740391588107326,72847,1.893008634535396,SVK
Norway,1368,15.13,5.7105263157894735,206965,0.6609813253448651,NOR
Egypt,1160,8.09,4.060344827586207,120493,0.9627115268106862,EGY
Slovenia,1141,11.45,7.938650306748467,64483,1.7694586169998294,SVN
Saudi Arabia,1100,5.9,2.4045454545454548,91460,1.202711567898535,SAU
South Africa,1056,9.56,3.0634469696969697,167440,0.6306736741519351,ZAF
Serbia,936,2.53,1.2895299145299146,45000,2.08,SRB
Pakistan,892,8.47,1.8632286995515694,81612,1.0929765230603343,PAK
Tunisia,837,5.82,1.922341696535245,51590,1.6224074433029656,TUN
Algeria,835,11.98,3.1652694610778442,36490,2.288298163880515,DZA
Bulgaria,814,8.89,2.323095823095823,54894,1.4828578715342295,BGR
Colombia,747,5.62,2.040160642570281,51579,1.448263828302216,COL
Chile,711,8.75,4.322081575246132,90216,0.7881085395051877,CHL
Argentina,708,6.77,3.6638418079096047,145416,0.4868790229410794,ARG
Ukraine,593,4.85,0.8853288364249579,133650,0.44369622147399923,UKR
United Arab Emirates,546,4.22,2.8754578754578755,26690,2.0457100037467217,ARE
Croatia,534,14.62,3.059925093632959,72110,0.7405352933018998,HRV
Lithuania,475,18.04,2.9557894736842107,32137,1.4780471108068582,LTU
Jordan,471,5.61,3.0445859872611467,25514,1.8460453084581014,JOR
Indonesia,421,3.12,1.3111638954869358,32355,1.301189924277546,IDN
Morocco,384,12.05,2.9557291666666665,35962,1.0677937823257884,MAR
Cyprus,346,8.31,4.202312138728324,14766,2.343220912908032,CYP
Estonia,341,4.33,0.9442815249266863,25458,1.3394610731400738,EST
Venezuela,332,7.19,3.2801204819277108,31764,1.045208412038786,VEN
Latvia,328,1.89,0.4024390243902439,14403,2.2773033395820317,LVA
Luxembourg,293,5.39,2.174061433447099,10527,2.783319084259523,LUX
Lebanon,255,12.61,4.419607843137255,18218,1.3997145680096608,LBN
Bangladesh,247,3.0,1.9149797570850202,26924,0.9173971178131035,BGD
Cuba,220,8.25,3.381818181818182,29514,0.7454089584603917,CUB
Qatar,204,5.58,2.7941176470588234,10287,1.9830854476523767,QAT
Kuwait,199,12.78,8.095477386934673,16848,1.1811490978157644,KWT
Azerbaijan,198,9.17,2.1565656565656566,9048,2.1883289124668437,AZE
Belarus,161,5.81,4.161490683229814,28941,0.5563042051069417,BLR
Sri Lanka,161,5.98,1.2857142857142858,10989,1.465101465101465,LKA
Macedonia,144,5.96,3.2083333333333335,7506,1.9184652278177456,MKD
Iceland,139,15.1,9.589928057553957,13937,0.9973451962402239,ISL
Oman,139,9.59,4.920863309352518,11139,1.2478678516922523,OMN
Iraq,116,1.13,0.6120689655172413,9555,1.2140240711669283,IRQ
Nigeria,106,1.02,0.6415094339622641,53298,0.1988817591654471,NGA
Philippines,97,6.43,2.402061855670103,17783,0.5454647697238936,PHL
Bosnia and Herzegovina,94,3.29,1.8297872340425532,6133,1.5326919941301158,BIH
Bahrain,65,1.94,1.3076923076923077,4180,1.555023923444976,BHR
Malta,62,13.5,3.9838709677419355,3801,1.6311496974480402,MLT
Costa Rica,60,0.93,0.48333333333333334,8224,0.7295719844357976,CRI
Uruguay,57,9.11,6.0,12307,0.46315105224668884,URY
Kazakhstan,56,3.81,0.4107142857142857,9652,0.5801906340654787,KAZ
Georgia,55,4.75,2.1454545454545455,9821,0.560024437429997,GEO
Peru,55,0.58,0.34545454545454546,12367,0.4447319479259319,PER
Albania,50,1.18,0.7,2692,1.8573551263001487,ALB
Trinidad and Tobago,45,3.65,2.8222222222222224,4666,0.9644234890698671,TTO
Ecuador,40,43.27,9.075,6371,0.6278449223041909,ECU
Puerto Rico,38,2.91,2.5789473684210527,13060,0.29096477794793263,PRI
Cameroon,31,3.95,3.6129032258064515,9874,0.31395584362973467,CMR
Fiji,31,5.98,3.3225806451612905,2069,1.4983083615273078,FJI
Paraguay,31,1.49,1.8387096774193548,1251,2.478017585931255,PRY
Nepal,30,0.04,0.03333333333333333,8044,0.37294878170064644,NPL
Panama,28,2.93,1.3571428571428572,4573,0.6122895254756178,PAN
Uganda,28,2.86,2.7857142857142856,10092,0.27744748315497425,UGA
Kenya,27,2.48,0.8518518518518519,21811,0.1237907477878135,KEN
Ghana,25,1.0,1.24,9721,0.25717518773788706,GHA
Mongolia,22,0.19,0.22727272727272727,2963,0.7424907188660141,MNG
Senegal,22,1.21,1.0909090909090908,6424,0.3424657534246575,SEN
Ethiopia,20,0.85,0.7,11381,0.17573148229505314,ETH
Sudan,20,4.87,2.85,5379,0.3718163227365681,SDN
Armenia,19,3.22,1.7894736842105263,11741,0.16182607955029382,ARM
Jamaica,19,7.77,6.315789473684211,4338,0.437989857076994,JAM
Yemen,19,4.37,3.5789473684210527,2447,0.7764609726195342,YEM
Namibia,17,1.24,0.8823529411764706,1957,0.8686765457332651,NAM
Moldova,16,0.88,0.5625,5506,0.2905920813657828,MDA
Mauritius,13,1.97,1.9230769230769231,1938,0.6707946336429308,MUS
Botswana,12,2.56,2.0,4511,0.2660164043449346,BWA
Montenegro,11,0.17,0.0,1845,0.5962059620596206,MNE
Rwanda,11,2.9,1.9090909090909092,1440,0.7638888888888888,RWA
Uzbekistan,10,1.25,0.5,8719,0.11469205184080744,UZB
Liechtenstein,8,11.44,13.5,1137,0.7036059806508356,LIE
Bolivia,7,0.75,0.7142857142857143,3236,0.21631644004944375,BOL
Tanzania,7,0.33,0.5714285714285714,10516,0.06656523392925066,TZA
Zimbabwe,7,3.88,4.285714285714286,6522,0.10732904017172647,ZWE
Burkina Faso,6,5.25,3.6666666666666665,4256,0.14097744360902253,BFA
Madagascar,6,0.58,0.16666666666666666,2878,0.20847810979847115,MDG
Benin,5,0.75,0.6,3385,0.14771048744460857,BEN
Bhutan,5,2.5,2.6,448,1.1160714285714286,BTN
Guatemala,5,0.0,0.0,1998,0.2502502502502503,GTM
New Caledonia,5,2.0,1.6,1937,0.2581311306143521,NCL
Barbados,4,2.5,2.0,1533,0.2609262883235486,BRB
Kyrgyzstan,4,0.0,0.0,1318,0.30349013657056145,KGZ
El Salvador,4,8.5,7.25,987,0.4052684903748734,SLV
Zambia,4,0.0,0.0,3495,0.11444921316165953,ZMB
Afghanistan,3,0.0,0.0,705,0.425531914893617,AFG
Honduras,3,7.33,7.0,890,0.33707865168539325,HND
Malawi,3,0.33,0.3333333333333333,4385,0.06841505131128849,MWI
Papua New Guinea,3,2.33,2.3333333333333335,2067,0.14513788098693758,PNG
Dominica,2,12.0,9.0,228,0.8771929824561403,DMA
Dominican Republic,2,0.0,0.0,964,0.2074688796680498,DOM
Faroe Islands,2,1.0,1.0,442,0.4524886877828055,FRO
Gabon,2,0.5,0.5,1857,0.10770059235325795,GAB
Guam,2,0.0,0.0,743,0.2691790040376851,GUM
Laos,2,0.0,0.0,1529,0.13080444735120994,LAO
Monaco,2,0.0,0.0,1436,0.1392757660167131,MCO
Maldives,2,0.5,0.5,184,1.0869565217391304,MDV
Mozambique,2,0.0,0.0,2023,0.09886307464162135,MOZ
French Polynesia,2,0.5,0.5,1138,0.17574692442882248,PYF
San Marino,2,0.0,0.0,168,1.1904761904761905,SMR
Swaziland,2,0.5,0.5,968,0.2066115702479339,SWZ
Chad,2,2.0,2.0,336,0.5952380952380952,TCD
Andorra,1,0.0,0.0,147,0.6802721088435374,AND
Belize,1,8.0,8.0,289,0.34602076124567477,BLZ
Grenada,1,0.0,0.0,814,0.12285012285012285,GRD
Guyana,1,0.0,0.0,490,0.20408163265306123,GUY
Cambodia,1,11.0,11.0,2195,0.04555808656036447,KHM
Niger,1,2.0,2.0,1438,0.06954102920723226,NER
Tajikistan,1,0.0,0.0,1118,0.08944543828264759,TJK
Turkmenistan,1,19.0,11.0,284,0.35211267605633806,TKM
Vanuatu,1,0.0,0.0,279,0.35842293906810035,VUT
